address,price,rooms
Address648,244,3
Address649,195,3
Address650,28,3
Address651,344,5
Address652,269,3
Address653,153,3
Address654,99,2
Address655,411,3
Address656,450,2
Address657,371,4
Address658,116,1
Address659,79,1
Address660,449,3
Address661,231,2
Address662,259,2
Address663,190,5
Address664,304,3
Address665,383,2
Address666,76,3
Address667,454,5
Address668,202,1
Address669,54,4
Address670,286,1
Address671,87,1
Address672,96,1
Address673,36,5
Address674,74,5
Address675,233,5
Address676,89,2
Address677,456,3
Address678,304,4
Address679,239,2
Address680,366,1
Address681,239,5
Address682,54,3
Address683,179,5
Address684,132,2
Address685,247,1
Address686,314,1
Address687,450,4
Address688,250,2
Address689,378,4
Address690,45,5
Address691,291,3
Address692,258,4
Address693,163,2
Address694,493,2
Address695,252,5
Address696,390,3
Address697,233,2
Address698,154,5
Address699,399,3
Address700,234,5
Address701,293,2
Address702,139,1
Address703,497,5
Address704,43,2
Address705,323,1
Address706,461,1
Address707,103,1
Address708,477,4
Address709,255,4
Address710,173,4
Address711,37,3
Address712,90,2
Address713,378,2
Address714,314,2
Address715,171,3
Address716,198,5
Address717,202,3
Address718,370,1
Address719,105,2
Address720,149,5
Address721,114,1
Address722,421,1
Address723,93,4
Address724,217,3
Address725,426,3
Address726,371,2
Address727,168,2
Address728,184,3
Address729,420,3
Address730,479,4
Address731,264,3
Address732,303,5
Address733,392,3
Address734,377,2
Address735,297,2
Address736,394,2
Address737,33,1
Address738,358,4
Address739,219,3
Address740,71,1
Address741,36,5
Address742,489,1
Address743,241,3
Address744,187,5
Address745,79,1
Address746,472,3
Address747,171,1
Address748,45,1
Address749,74,4
Address750,317,4
Address751,258,4
Address752,113,5
Address753,98,3
Address754,498,2
Address755,248,3
Address756,294,4
Address757,167,2
Address758,319,5
Address759,401,3
Address760,50,5
Address761,266,2
Address762,428,3
Address763,89,2
Address764,145,3
Address765,266,5
Address766,135,3
Address767,242,5
Address768,432,4
Address769,393,3
Address770,500,1
Address771,338,5
Address772,337,1
Address773,181,3
Address774,224,4
Address775,469,3
Address776,202,5
Address777,476,2
Address778,277,5
Address779,397,2
Address780,49,3
Address781,157,2
Address782,142,1
Address783,385,3
Address784,47,1
Address785,115,1
Address786,112,2
Address787,228,2
Address788,72,4
Address789,424,1
Address790,441,5
Address791,188,5
Address792,333,2
Address793,20,3
Address794,250,4
Address795,385,2
Address796,43,2
Address797,56,1
Address798,232,3
Address799,246,1
Address800,190,3
Address801,414,5
Address802,305,1
Address803,120,2
Address804,393,3
Address805,200,2
Address806,165,2
Address807,334,2
Address808,475,3
Address809,382,5
Address810,260,4
Address811,358,5
Address812,479,1
Address813,126,4
Address814,106,5
Address815,445,5
Address816,356,1
Address817,393,2
Address818,99,3
Address819,282,3
Address820,98,1
Address821,375,5
Address822,131,2
Address823,22,2
Address824,223,1
Address825,191,3
Address826,383,2
Address827,98,4
Address828,298,3
Address829,118,4
Address830,133,4
Address831,350,1
Address832,348,5
Address833,47,3
Address834,270,1
Address835,251,1
Address836,38,2
Address837,321,2
Address838,426,1
Address839,193,3
Address840,349,3
Address841,471,2
Address842,293,4
Address843,25,3
Address844,496,3
Address845,186,4
Address846,181,2
Address847,282,3
Address848,199,4
Address849,497,2
Address850,425,5
Address851,90,1
Address852,395,3
Address853,54,2
Address854,405,5
Address855,84,4
Address856,51,4
Address857,143,2
Address858,337,4
Address859,474,5
Address860,316,5
Address861,111,4
Address862,387,1
Address863,360,3
Address864,47,1
Address865,123,2
Address866,426,5
Address867,243,1
Address868,421,4
Address869,205,5
Address870,109,1
Address871,455,5
Address872,166,3
Address873,478,2
Address874,111,4
Address875,333,2
Address876,55,3
Address877,84,4
Address878,189,1
Address879,500,2
Address880,403,3
Address881,270,2
Address882,421,4
Address883,397,2
Address884,475,3
Address885,410,3
Address886,368,4
Address887,300,5
Address888,321,5
Address889,108,4
Address890,38,4
Address891,147,3
Address892,146,5
Address893,51,4
Address894,71,3
Address895,324,3
Address896,406,2
Address897,381,1
Address898,39,2
Address899,469,2
Address900,64,5
Address901,431,5
Address902,125,2
Address903,172,3
Address904,250,3
Address905,248,2
Address906,87,1
Address907,482,4
Address908,391,1
Address909,277,3
Address910,490,4
Address911,281,5
Address912,233,2
Address913,46,2
Address914,194,1
Address915,350,5
Address916,91,2
Address917,62,1
Address918,479,1
Address919,498,2
Address920,187,4
Address921,234,3
Address922,121,5
Address923,258,4
Address924,442,2
Address925,377,1
Address926,85,4
Address927,467,5
Address928,300,1
Address929,39,1
Address930,327,4
Address931,357,1
Address932,99,1
Address933,55,2
Address934,234,2
Address935,26,2
Address936,335,5
Address937,460,1
Address938,375,1
Address939,292,5
Address940,136,3
Address941,205,1
Address942,290,4
Address943,284,5
Address944,346,2
Address945,308,1
Address946,176,5
Address947,115,4
Address948,211,4
Address949,199,4
Address950,241,3
Address951,196,4
Address952,386,5
Address953,353,3
Address954,98,1
Address955,449,1
Address956,495,1
Address957,483,4
Address958,117,2
Address959,348,1
Address960,177,4
Address961,295,1
Address962,460,2
Address963,110,4
Address964,203,3
Address965,180,2
Address966,128,5
Address967,28,1
Address968,97,5
Address969,340,4
Address970,365,2
Address971,161,1
Address972,332,1
Address973,414,3
Address974,42,2
Address975,97,1
Address976,78,1
Address977,250,3
Address978,192,5
Address979,81,3
Address980,168,5
Address981,497,3
Address982,488,4
Address983,74,1
Address984,306,4
Address985,76,1
Address986,53,1
Address987,314,3
Address988,332,1
Address989,183,5
Address990,275,5
Address991,464,5
Address992,253,5
Address993,138,3
Address994,91,5
Address995,334,4
Address996,258,3
Address997,210,2
Address998,51,1
Address999,135,2
